prompt,domain
Recommend a good wine for this steak.,restaurant
What is the chef's recommendation?,restaurant
Is the fish fresh?,restaurant
Do you have oysters today?,restaurant
I want to order the tasting menu.,restaurant
How many courses is the tasting menu?,restaurant
Can we share a plate?,restaurant
Is there a buffet?,restaurant
Do you serve brunch on Sundays?,restaurant
I want to make a reservation for brunch.,restaurant
Do you offer bottomless mimosas?,restaurant
Can I bring my dog to the patio?,restaurant
Is the restaurant pet-friendly?,restaurant
Do you have wifi?,restaurant
Can I work from the cafe?,restaurant
I need a table with a power outlet.,restaurant
Is it crowded right now?,restaurant
How loud is the music?,restaurant
Can you turn down the music?,restaurant
It's too cold in here.,restaurant
Can we move to a warmer table?,restaurant
"I dropped my fork, can I get a new one?",restaurant
We need more napkins please.,restaurant
Can we get some water?,restaurant
Refill my drink please.,restaurant
I'm ready to order now.,restaurant
We need a few more minutes to decide.,restaurant
Can you explain this dish?,restaurant
What ingredients are in the sauce?,restaurant
Is the chicken organic?,restaurant
Where do you source your meat?,restaurant
Do you have farm-to-table options?,restaurant
I want to support local businesses.,restaurant
Is this a chain restaurant?,restaurant
Who is the head chef?,restaurant
Do you have Michelin stars?,restaurant
Is this a fine dining place?,restaurant
I want a casual dining spot.,restaurant
Find a fast food joint nearby.,restaurant
I want pizza.,restaurant
Where is the best burger in town?,restaurant
I'm craving sushi.,restaurant
Find a Mexican restaurant.,restaurant
Is there a Thai place open late?,restaurant
I want Indian food.,restaurant
Find a Chinese restaurant that delivers.,restaurant
Do you have dim sum?,restaurant
I want to eat tacos.,restaurant
Where can I get a good coffee?,restaurant
Do you serve alcohol?,restaurant
Do you have a full bar?,restaurant
I want a cocktail.,restaurant
Do you have craft beer?,restaurant
Is there a sommelier?,restaurant
Can I reserve the chef's table?,restaurant
How much is the average meal?,restaurant
Is it expensive?,restaurant
I'm looking for a cheap eat.,restaurant
Do you have a student discount?,restaurant
Is there a senior citizen discount?,restaurant
Can I use a coupon?,restaurant
Do you accept reservations online?,restaurant
Can I book through OpenTable?,restaurant
I called but no one answered.,restaurant
Can I leave a message for the restaurant?,restaurant
Confirm my reservation via email.,restaurant
Send me a receipt.,restaurant
"I left my jacket there, did you find it?",restaurant
Do you have a lost and found?,restaurant
Can I buy a bottle of your sauce?,restaurant
Do you sell merchandise?,restaurant
Can I book the whole restaurant?,restaurant
How many people can you accommodate?,restaurant
Do you have a projector for meetings?,restaurant
Can we decorate the table?,restaurant
Can I bring a birthday cake?,restaurant
Is there a cake cutting fee?,restaurant
Do you sing Happy Birthday?,restaurant
I want a candle on the dessert.,restaurant
Make it a surprise.,restaurant
Don't show the prices to my guest.,restaurant
I am paying for the whole table.,restaurant
Bring the bill to me quietly.,restaurant
Can I pay in advance?,restaurant
Do you take American Express?,restaurant
Do you accept cash?,restaurant
Is there an ATM inside?,restaurant
Where are the restrooms?,restaurant
Is the restroom accessible?,restaurant
Do you have a baby changing station?,restaurant
Is there a smoking area?,restaurant
Can I smoke on the patio?,restaurant
Do you have hookah?,restaurant
Is there a dress code for lunch?,restaurant
Can I wear shorts?,restaurant
Do I need a reservation for the bar?,restaurant
Can we just have drinks?,restaurant
Do you serve food at the bar?,restaurant
What time is last call?,restaurant
When do you stop serving food?,restaurant
Are you open 24 hours?,restaurant
Do you have a drive-thru?,restaurant
Can I do curbside pickup?,restaurant
Where do I park for pickup?,restaurant
Call me when the order is ready.,restaurant
Text me when my table is ready.,restaurant
How much longer for the food?,restaurant
"It's been 45 minutes, where is my food?",restaurant
"This is cold, can you heat it up?",restaurant
This is too salty.,restaurant
This is undercooked.,restaurant
This is overcooked.,restaurant
I didn't order this.,restaurant
You forgot my drink.,restaurant
You overcharged me.,restaurant
The bill is wrong.,restaurant
Remove this item from the bill.,restaurant
I want to speak to the owner.,restaurant
I will leave a bad review.,restaurant
I love this place.,restaurant
Compliments to the chef.,restaurant
The server was amazing.,restaurant
I will definitely come back.,restaurant
Can I buy a gift card online?,restaurant
Do you have holiday hours?,restaurant
Are you open on New Year's Eve?,restaurant
Do you have a special Valentine's menu?,restaurant
Is there a cover charge?,restaurant
Do you require a deposit for booking?,restaurant
What is the cancellation policy?,restaurant
"If I cancel, do I get my money back?",restaurant
Can I change the date of my booking?,restaurant
Do you have high tea?,restaurant
I want to book an afternoon tea.,restaurant
Do you serve pastries?,restaurant
Is there a bakery attached?,restaurant
Do you make your own bread?,restaurant
Is the pasta homemade?,restaurant
Do you use fresh ingredients?,restaurant
Is the seafood sustainable?,restaurant
Do you have wild-caught fish?,restaurant
Is the beef grass-fed?,restaurant
Do you have free-range chicken?,restaurant
Is the coffee fair trade?,restaurant
Do you have soy milk?,restaurant
Do you have oat milk?,restaurant
Do you have almond milk?,restaurant
Can I get decaf coffee?,restaurant
Do you have herbal tea?,restaurant
I want an iced coffee.,restaurant
Make it to go.,restaurant
Can I get a doggy bag?,restaurant
Wrap this up for me.,restaurant
Can I have extra sauce to go?,restaurant
Do you provide plastic cutlery?,restaurant
I want eco-friendly packaging.,restaurant
Do you recycle?,restaurant
Do you compost?,restaurant
Is this straw plastic?,restaurant
I don't need a straw.,restaurant
Can I get a glass of water with no ice?,restaurant
Can I have warm water?,restaurant
Do you have sparkling water?,restaurant
I want a bottle of still water.,restaurant
Do you have fresh juice?,restaurant
Is the juice squeezed fresh?,restaurant
Do you have smoothies?,restaurant
Can I add protein powder?,restaurant
Do you have acai bowls?,restaurant
I want a light salad.,restaurant
I want something heavy.,restaurant
I'm very hungry.,restaurant
I'm not that hungry.,restaurant
Can I order a half portion?,restaurant
Do you have small plates?,restaurant
I want to share appetizers.,restaurant
Bring everything at once.,restaurant
Bring appetizers first.,restaurant
Wait for the rest of my party.,restaurant
We are ready to be seated.,restaurant
Our table is wobbling.,restaurant
The table is dirty.,restaurant
Can you wipe the table?,restaurant
The floor is slippery.,restaurant
It's too dark in here.,restaurant
Can you turn up the lights?,restaurant
The music is too loud.,restaurant
Can I request a song?,restaurant
Do you have a DJ?,restaurant
Is there dancing?,restaurant
Do you have karaoke?,restaurant
Can I watch the game here?,restaurant
Turn the TV to the football game.,restaurant
Do you have trivia night?,restaurant
When is live jazz night?,restaurant
Do you host wine tastings?,restaurant
I want to book a cooking class.,restaurant
Do you offer cooking lessons?,restaurant
Can I meet the chef?,restaurant
Can I see the kitchen?,restaurant
